User name;AWS access key;Event time;Event source;Event name;AWS region;Source IP address;User agent;Error code;Resources;Request ID;Event ID;Read-only;Event type;Recipient Account Id;Event category
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:39:24Z;iam.amazonaws.com;CreateUser;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATRNJYMTKD3U2JWOJC""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::243558540500:user/Accountant""}]";fa6f4237-67bf-4b48-bc5b-d01df42d2e2e;e32ec619-62bc-4487-9585-1a0a45c75694;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:38:38Z;iam.amazonaws.com;CreateLoginProfile;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]";ca94eb59-2261-4fdb-83ea-59b321dd7bf3;439fc826-4fa0-4148-81f0-8c565eb9dedc;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:38:36Z;iam.amazonaws.com;AddUserToGroup;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]";6b6190ed-ed51-4689-aeb7-af99fb4d0730;df9d0df1-c296-4104-9e6d-5f0622e7f753;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:38:36Z;iam.amazonaws.com;CreateUser;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::243558540500:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDATRNJYMTKMDJTOSJZO""}]";03dfbd3e-6456-452a-8a54-5b07a1d2c804;e246c5ed-b36a-4440-a439-81a265327ba0;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:37:05Z;iam.amazonaws.com;AttachGroupPolicy;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]";11fbed97-5e5f-4952-8c03-72dcdb08eb29;b40dc18b-6a59-4b62-99a7-6740b82b1d22;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:37:05Z;iam.amazonaws.com;CreateGroup;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::243558540500:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATRNJYMTKGR23IFL2Y""}]";5ada10dd-c093-4ad7-a7fa-49e1875ad429;fb07985b-0456-4fbf-a395-ca1432b1e925;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:36:49Z;iam.amazonaws.com;AttachGroupPolicy;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]";e0b321ee-9c02-4bc3-91bb-12c3c42ba2de;41c82cb8-7f36-4a46-8e8c-82515f3f9b12;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:36:49Z;iam.amazonaws.com;CreateGroup;us-east-1;176.54.244.188;console.amazonaws.com;;"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::243558540500:group/CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPATRNJYMTKJBKVJ25CW""}]";89bdc1e4-4a68-4256-ab0f-0bde20ded082;4f862f82-d58a-41e7-8165-7b34bde053fa;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:36:11Z;iam.amazonaws.com;UpdateAccountPasswordPolicy;us-east-1;176.54.244.188;console.amazonaws.com;;[];d4e272a4-8016-4b0d-8d46-ca25285010e2;e49f0419-5c63-4f67-bfc2-4de27966b8ce;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:33:49Z;iam.amazonaws.com;UpdateAccountPasswordPolicy;us-east-1;176.54.244.188;console.amazonaws.com;;[];5c42c9c8-0b18-4278-a06d-165447b4b324;d9c635d6-4877-475e-978e-2f993a5a1d86;;AwsApiCall;243558540500;
root;ASIATRNJYMTKBJKISPT5;2020-07-20T21:33:19Z;iam.amazonaws.com;UpdateAccountPasswordPolicy;us-east-1;176.54.244.188;console.amazonaws.com;;[];47888f66-df8f-46f1-bdc8-48b737aab862;84bbba4d-e300-4c00-b5ad-796b3101304b;;AwsApiCall;243558540500;
